rt	media	hashtag	host	nominees	winner	presenter
	http://t.co/	oscars	great pick for	jessica lange	best actress in miniseries	(' winners', 'http')
	http://t.co/	goldenglobes	probably the best	darcy st fudge	best actress in a miniseries or tv movie for	('swifty just', 'some')
	http://t.co/	goldenglobes	tina and amy should	darcy st fudge	best actress in miniseries	(' jason statham', 'at')
	http://t.co/	goldenglobes	great choice of	jessica lange	best facial hair of the night	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	can they	jessica lange	best director at	(' or that danial craig', 'her')
	http://t.co/	goldenglobes	amy poehler and tina fey are amazing as	i	best actress in a miniseries or tv movie for	(' taylor swift just', 'adele')
	http://t.co/	globesfashion	tina are the best	jon hamm	best actress in miniseries	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	the	darcy st fudge	best supporting actor globe for	(' whoever', 'names')
	https://t.co/	missed	s our	hiesenburg	best supporting actor globe for	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	amy poehler and tina fey should	wtf cranston	best actress in a miniseries for game change	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	loving the golden globes	wtf cranston	best actress in a miniseries or tv movie for	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	first time golden globes has two	bryan cranston	best tux of the night	(' the speech adele just', 'was')
	http://t.co/	goldenglobes	and i	jessica lange	best actress in a mini	('ve already tweeted a couple winners before they were even', 'live')
	http://t.co/	goldenglobes	tina fey and amy poehler should	don draper	best mini	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	thank you whoever scheduled them to	jessica lange	best supporting actor for django unchained http	('love that adele', 'credit')
	http://t.co/	robertpattinson	al roker poops his pants and gets to	daniels	best actress in a miniseries or movie	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	they should	jon hamm	best actress in a miniseries or tv movie for	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	snl is showing everyone how to	and cranston	best actress in a miniseries or motion picture made for television for game change	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	t tina fey and amy poehler	heisenberg	best actress in mini	(' tony mendez', '@')
	http://t.co/	goldenglobes	tina fey and amy poehler need to	wow wow wow bryan cranston	best supporting actor globe for	('lo', 'ben')
	http://t.co/	goldenglobes	amy poehler and tina fey will	heisenberg	best supporting actor	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	can tina and amy	darcy st fudge	best supporting actor	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	amypoehler as funny	bryan cranston just	best actress in mini	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	can they please	meh bryan cranston	best supporting actor globe for	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	goldenglobes	and cranston	best supporting actor at	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	they are the perfect	wtf cranston	best actress in mini	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	i think tina fey and amy poehler should	jessica lange	best supporting actor at	(' my knees', 'a')
	http://t.co/	globosdeoro	please let them	meh bryan cranston	best supporting actor	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	tina fey and amy poehler need to	but i feel that damian lewis	best actress in mini	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	kevin dior and girl crushes on our comedienne	i	best actress in miniseries	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	snl is showing everyone how to	rudd and hayek are totally	best supporting actress in a tv movie	(' she', 'bird')
	http://t.co/	goldenglobes	tina fey and amy poehler need to	cranston	best actress for tv movie role in game change	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	omg best pairing of	meh bryan cranston	best supporting actor for	(' omg the high five adele', 'daniel')
	http://t.co/	goldenglobes	they should	jessica lange	best supporting actor globe for	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	amy poehler and tina fey will	breaking bad	best show on television	(' taylor swift just', 'adele')
	http://t.co/	redcarpet	amazing	breaking bad	best actor	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	tina fey and amy poehler need to	ve	best actress in a tv miniseries or movie	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	tina fey and amy poehler were the absolute perfect choice for	darcy st fudge	best actor tv series or drama	('omg the look taylor swift just', 'adele')
	http://t.co/	goldenglobes	best hosts in the history of award show	breaking bad	best actress in a miniseries or tv movie for	(' i love that adele', 'birth')
	http://t.co/	redcarpet	can they	but breaking bad	best actor drama for homeland	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	omg amy poehler and tina fay are the best	wtf cranston	best tv actor	(' tony mendez', '@')
	http://t.co/	awards	best	breakingbad	best supporting ginger who also makes my panties wet	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	tina and amy were the best choices for	totally	best actor for a tv series drama for homeland	('officialadele just', 'most')
	http://t.co/	goldenglobes	tina fey and amy poehler to	jessica lange	best actor in a tv series	(' i love that adele', 'birth')
	http://t.co/	goldenglobes	i want to	downtonabbey	best actor in a tv series	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	t have picked better	breakingbad just	best actor in a tv show	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	tina fey and amy poehler are the best	breakingbad	best actor tv series or drama for homeland	(' i love that adele', 'birth')
	http://t.co/	goldenglobes	from here on out all awards shows are	you	best actor in a tv series for his role in homeland	(' taylor swift just', 'adele')
	http://t.co/	panama	mejores	newsroom	best actor for tv drama http	('shouout to the fake smile taylor', 'adele')
	http://t.co/	goldenglobes	can they	but breaking bad	best actress in a mini series or tv movie	(' love that mychael danna', '#')
	http://t.co/	goldenglobes	we just needed to have women	has evan longoria	best actor in a tv drama for	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	tina fey and amy poehler should	downtonabbey	best actor for tv drama http	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	please	my invite to the golden globes definitely got	best actor for tv drama http	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	best	darcy st fudge	best supporting actor at	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	favorite	darcy st fudge	best actor in a tv series	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	i vote for tina and amy to	lots of people thought breaking bad	best actor for tv drama http	(' i love that adele', 'birth')
	http://t.co/	goldenglobes	i could not pick two better	jessica lange	best actor in a tv series	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	can tina and amy	blacktwitter is	best actor in a drama	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	these two should	darcy st fudge	best actor for homeland	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	my life	wtf cranston	best actor for tv drama http	(' i love that adele', 'birth')
	http://t.co/	eredcarpet	jarvis tina and amy should	may have	best drama tv series	(' my knees', 'a')
	http://t.co/	eredcarpet	s	best tv show drama at the golden globes but didn	best actor for tv drama	('so far adele', 'best')
	http://t.co/	goldenglobes	tina fey are the	leonardo dicaprio	best actor tv series for drama for homeland	(' my knees', 'a')
	http://t.co/	goldenglobes	best	heisenberg	best actor in a tv drama for	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	tina and amy were the best choices to	i love homeland but bryan cranston	best supporting actor for django unchained	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	can tina fey and amy poehler please please please	jessica lange	best drama	('i really love that adele', 'daniel')
	http://t.co/	goldenglobes	amy poehler already the best	darcy st fudge	best tv series	(' taylor swift just', 'adele')
	http://t.co/	goldenglobes	and tina fey best	jessica lange	best tv series drama	(' i love that adele', 'birth')
	http://t.co/	wowowow	tina as best	best tv drama	best television series	(' i love that adele', 'birth')
